name,area,soil,timings,chemicals,medicine
АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ,"Растет хорошо на бурых горно, лесных,  регулярному увлажнению"
ИСТОД ТОНКОЛИСТНЫЙ,"Растет хорошо на Приханкайской низменности,  каменистых склонах,  "
КАЛИНА ОБЫКНОВЕННАЯ,"Растет хорошо на серых лесных,  серых лесных хорошо дренированных почвах,  известковыми материалами,  легко переносит засухи и морозы"
КАТАРАНТУС РОЗОВЫЙ,"Может возделываться на выщелоченном черноземе,  тропиках почвах,  Растет хорошо на выщелоченном черноземе,  тропиках,  нетребовательно,  нетребовательно к почвамПредпочитает почву чистой от сорняков,  чистой от сорняков почвы,  "
КОНСКИЙ КАШТАН ОБЫКНОВЕННЫЙ,"Растет хорошо на на юге Западной Сибири,  "
КОПЕЕЧНИК АЛЬПИЙСКИЙ,"Предпочитает влажные и богатые гумусом луговые почвы,  "
КОПЫТЕНЬ ЕВРОПЕЙСКИЙ,"Может возделываться на дерново, подзолистых и серых лесных почвах,  Растет хорошо на дерново, подзолистых и серых лесных,  "
КОРИАНДР ПОСЕВНОЙ,"Может возделываться на Центрально, Черноземных областях почвах,  "
КОРОВЯК ГУСТОЦВЕТКОВЫЙ,"Растет хорошо на лугам,  склонах песчаных холмов,  влажности почвы,  густым войлочным опушениемПредпочитает хорошо дренированные суглинки почвы,  "
КРАПИВА ДВУДОМНАЯ,"Может возделываться на щебнистых и сухих почвах,  Растет хорошо на щебнистых и сухих,  ползучим ветвистым корневищем"
КРАСАВКА ОБЫКНОВЕННАЯ,"Растет хорошо на высокоокультуренных плодородных,  Предпочитает рыхлые,  увлажненные,  перегнойные почвы,  "
КРОВОХЛЁБКА ЛЕКАРСТВЕННАЯ,"Растет хорошо на Тиманской и Большеземельской тундрах,  "
КРУШИНА ОЛЬХОВИДНАЯ,"Может возделываться на сырых и влажных почвах,  Растет хорошо на сырых и влажных,  богатству и влажности почв"
КУБЫШКА ЖЁЛТАЯ,
КУКУРУЗА ОБЫКНОВЕННАЯ,"Может возделываться на солончаковых почвах,  Растет хорошо на солончаковых,  "
ЛАБАЗНИК ВЯЗОЛИСТНЫЙ,"Может возделываться на черноольшанниках почвах,  Растет хорошо на оглеенных почвах,  черноольшанниках,  "
ЛАБАЗНИК ОБЫКНОВЕННЫЙ,
ЛАМИНАРИЯ ЯПОНСКАЯ,
ЛАНДЫШ КЕЙСКЕ,
ЛАНДЫШ МАЙСКИЙ,"Может возделываться на супесчаных и песчаных почвах,  Растет хорошо на бедных,  нейтральных,  "
ЛАПЧАТКА БЕЛАЯ,"Предпочитает высокоплодородная почвы,  "
ЛАПЧАТКА ПРЯМОСТОЯЧАЯ,"Может возделываться на кислые,  бедные гумусом почвы почвах,  Растет хорошо на сухих,  кислые,  бедные гумусом почвыПредпочитает кислые,  бедные гумусом почвы,  "
ЛАПЧАТКА СЕРЕБРИСТАЯ,"Растет хорошо на легкие сухие дренированные почвы,  лесостепной и степной,  стержневой корневой системойПредпочитает легкие сухие дренированные почвы,  "
ЛЁН ПОСЕВОЙ,"Растет хорошо на суглинистых,  теплуПредпочитает легкие суглинистые,  нейтральной или слабокислой почвы,  "
ЛЕСПЕДЕЦА ДВУЦВЕТНАЯ,"Может возделываться на хорошо дренированные почвы почвах,  Растет хорошо на влажных или хорошо дренированных супесчаных,  дренированных и щебнистых,  Предпочитает хорошо дренированные,  хорошо дренированные почвы с низкой кислотностью почвы,  "
ЛЕСПЕДЕЦА КОПЕЕЧНИКОВАЯ,
ЛИМОННИК КИТАЙСКИЙ,"освещениюПредпочитает умеренную влажность почвы и воздуха почвы,  "
ЛИПА СЕРДЦЕВИДНАЯ,"Может возделываться на дымои газоустойчивы,  органо, минеральное удобрение и известь почвах,  вредителям и болезням,  переносит временный избыток влагиПредпочитает богатых,  плодородные увлажненные почвы почвы,  "
ЛОМОНОС ВИНОГРАДОЛИСТНЫЙ,
ЛОПУХ БОЛЬШОЙ,"Может возделываться на промышленных плантациях почвах,  Предпочитает хорошо дренированную почвы,  "
МАГНОЛИЯ КРУПНОЦВЕТКОВАЯ,"Предпочитает плодородные,  свежие,  суглинистые почвы,  "
МАКЛЕЯ СЕРДЦЕВИДНАЯ,"Может возделываться на запольных участках почвах,  алкалоидам,  теплу"
МАЛИНА ОБЫКНОВЕННАЯ,"Может возделываться на влажных почвах,  "
МАРЕНА КРАСИЛЬНАЯ,к теплу
МАТЬ-И-МАЧЕХА ОБЫКНОВЕННАЯ,"Может возделываться на тяжелых суглинках и глинах почвах,  Растет хорошо на нейтральных,  влажности почвы всходы и молодые растенияПредпочитает всходы и молодые растения,  фосфором и калием почвы,  "
МАЧОК ЖЁЛТЫЙ,"Может возделываться на Краснодарском крае и Крыму почвах,  Растет хорошо на песчаных морских побережьях,  "
МЕЛИССА ЛЕКАРСТВЕННАЯ,"Может возделываться на многолетнем специальном севообороте почвах,  теплу и свету"
МИНДАЛЬ ОБЫКНОВЕННЫЙ,"Растет хорошо на очень сухих осыпях,  черноземных,  щебнистых и суглинистых,  освещению,  освещению и сравнительно нетребовательно"
МОЖЖЕВЕЛЬНИК ОБЫКНОВЕННЫЙ,"Растет хорошо на умеренно влажных,  Предпочитает песчаной почвы,  "
МОРКОВЬ ДИКАЯ,"Может возделываться на среднеувлажненных почвах,  Растет хорошо на прогреваемых,  среднеувлажненных,  среднеувлажненных,  хорошо прогреваемых,  среднеувлажненных"
МЯТА ПЕРЕЧНАЯ,
НАПЕРСТЯНКА КРУПНОЦВЕТКОВАЯ,"Может возделываться на плодородные увлажненные почвы почвах,  Наперстянка требовательна к почвеПредпочитает плодородные увлажненные почвы почвы,  "
НОГОТКИ ЛЕКАРСТВЕННЫЕ,"Может возделываться на среднесуглинистых почвах,  Растет хорошо на среднесуглинистых,  "
ОБЛЕПИХА КРУШИНОВИДНАЯ,"Может возделываться на светло, каштановых солонцеватых почвах,  Растет хорошо на светло, каштановых солонцеватых,  "
ОВЕС ПОСЕВНОЙ,повышенную почвенную кислотность
ОДУВАНЧИК ИЗОГНУТЫЙ,"Может возделываться на слабозадерненных почвах,  Растет хорошо на слабозадерненных,  слабозадерненныхПредпочитает хорошо удобренной и глубоко разрыхленной почвы,  "
ОКОПНИК ЖЁСТКИЙ,
ОЛЬХА ЧЁРНАЯ,"Растет хорошо на бедных сухих песча,   ных,  свежих наносных,  влажных и богатых почвПредпочитает влажных и богатых почвы,  "
ОМЕЛА БЕЛАЯ,
ОРТОСИФОН ОСТИСТЫЙ,влажности и плодородию почвы
ОЧИТОК БОЛЬШОЙ,"Может возделываться на песчаных и каменистых почвах,  Растет хорошо на песчаных и каменистых,  "
ПАЖИТНИК СЕННОЙ,"теплу,  пластичное к условиям произрастанияПредпочитает кислые,  переувлажненные почвы,  "
ПАСЛЕН СЛАДКО-ГОРЬКИЙ,
ПАССИФЛОРА ИНКАРНАТНАЯ,
ПАСТЕРНАК ПОСЕВНОЙ,"Может возделываться на овощном севообороте,  средней полосе Европейской России почвах,  Растет хорошо на глинистых,  рыхлую плодородную почву"
ПАСТУШЬЯ СУМКА ОБЫКНОВЕННАЯ,
ПЕРЕСТУПЕНЬ БЕЛЫЙ,"Растет хорошо на Кавказе,  На Кавказе,  "
ПЕРЕЦ ОДНОЛЕТНИЙ,"Может возделываться на легких почвах,  Растет хорошо на легких,  плодородию почвыПредпочитает 70, 75 ,  почвы,  "
ПИЖМА ОБЫКНОВЕННАЯ,"Предпочитает дренированные песчаные и супесчаные почвы,  "
ПИОН УКЛОНЯЮЩИЙСЯ,"Может возделываться на гумусом почвах,  "
ПИРЕТРУМ ЦИНЕРАРИЕЛИСТНЫЙ,"Может возделываться на Северном Кавказе,  хорошего механического состава и высокого плодородия почвах,  Растет хорошо на субальпийских и альпийских лугах Кавказа,  хорошего механического состава и высокого плодородия,  хорошего механического состава и высокого плодородия"
ПЛАУН БУЛАВОВИДНЫЙ,
ПОДОРОЖНИК БЛОШНЫЙ,"Растет хорошо на песках и сухих щебнистых склонах,  "
ПОДОРОЖНИК БОЛЬШОЙ,"Может возделываться на темно, серых лесных и лугопойменных почвах,  плодородию почвы"
ПОДОФИЛЛ ЩИТОВИДНЫЙ,"перегноем почвой,  ядовитости сырьяПредпочитает перегноем,  перегноем почвой почвы,  "
ПОЛЫНЬ ГОРЬКАЯ,"Может возделываться на подзолистых песчаных почвах,  Растет хорошо на подзолистых песчаных,  Предпочитает главным корнем,  средне увлажненные рыхлые почвы,  "
ПОЛЫНЬ ОБЫКНОВЕННАЯ,вредителями и болезнями
ПРУТНЯК ОБЫКНОВЕННЫЙ,"Может возделываться на плодородные почвы почвах,  Растет хорошо на каменистых,  песчаных,  Предпочитает плодородные почвы,  "
ПУСТЫРНИК СЕРДЕЧНЫЙ,"Растет хорошо на питательными веществами,  Нетребователен,  питательными веществами"
РАПОНТИКУМ САФЛОРОВИДНЫЙ,"Может возделываться на бурых горно, луговых почвах,  Растет хорошо на субальпийских лугах,  суглинистых почвах умеренного увлажнения,  "
РАСТОРОПША ПЯТНИСТАЯ,"Может возделываться на засоленных почвах,  Растет хорошо на засоленных,  сорной растительности"
РЕВЕНЬ ПАЛЬЧАТЫЙ ТАНГУТСКИЙ,"Может возделываться на плодородию почвы почвах,  Растет хорошо на богатых перегноем,  легких и средних,  плодородию почвы"
РЕПЕШОК ВОЛОСИСТЫЙ,
РЕПЕШОК ОБЫКНОВЕННЫЙ,
РОДИОЛА РОЗОВАЯ,"Предпочитает легкие или средние плодородные суглинки почвы,  "
РОМАШКА АПТЕЧНАЯ,"Может возделываться на бедных,  супесчаных и суглинистых почвах почвах,  Растет хорошо на европейской части России,  плодородию почвы"
РОМАШКА БЕЗЪЯЗЫЧКОВАЯ,"Может возделываться на влагой почвы почвах,  Растет хорошо на открытых участках,  "
РЯБИНА ОБЫКНОВЕННАЯ,"Растет хорошо на лесной и лесотундровой зонах,  подлеске хвойных и смешанных лесов,  "
САБЕЛЬНИК БОЛОТНЫЙ,"Растет хорошо на пойме,  "
СВОБОДНОЯГОДНИК КОЛЮЧИЙ,"гумусомПредпочитает влажные,  но не сырые типы леса почвы,  "
СЕКУРИНЕГА ПОЛУКУСТАРНИКОВАЯ,
СЕРПУХА ВЕНЦЕНОСНАЯ,"застою водыПредпочитает хорошо увлажненные почвы,  "
СИНЮХА ГОЛУБАЯ,"Может возделываться на гумусом,  однолетняя или двулетняя пропашная культура почвах,  Растет хорошо на арктической зоне,  гумусом,  плодородию почвы"
СКОПОЛИЯ КАРНИОЛИЙСКАЯ,"Может возделываться на суглинках и супесях почвах,  Растет хорошо на суглинках и супесях,  влажности воздуха"
СКУМПИЯ КОЖЕВЕННАЯ,"Может возделываться на слабозасоленных почвах,  Растет хорошо на слабозасоленных,  Предпочитает темно, каштановые и каштановые почвы,  "
СМОКОВНИЦА ОБЫКНОВЕННАЯ,"Растет хорошо на каменистых осыпях,  "
СМОРОДИНА ЧЕРНАЯ,"Может возделываться на холодных и умеренных поясах Евразии почвах,  желтовато, серыми побегамиПредпочитает гумусом почвы,  "
СОЛОДКА ГОЛАЯ,"Растет хорошо на пустынной и степной зонах,  "
СОФОРА ЯПОНСКАЯ,"Может возделываться на суглинистые и супесчаные почвах,  Растет хорошо на Китай,  суглинистые и супесчаные почвы,  Предпочитает суглинистые и супесчаные почвы,  "
СПОРЫНЬЯ ПУРПУРОВАЯ,
СТАЛЬНИК КОЛЮЧИЙ,
СУМАХ ДУБИЛЬНЫЙ,"Растет хорошо на горах Крыма,  куста,  "
СУШЕНИЦА ТОПЯНАЯ,"Предпочитает тяжелого механического состава,  тяжелые почвы почвы,  "
ТЕРМОПСИС ЛАНЦЕТОВИДНЫЙ,
ТИМЬЯН ОБЫКНОВЕННЫЙ,"Растет хорошо на открытых сухих и каменистых склонах,  засухеПредпочитает гумусом известковые почвы почвы,  "
ТИМЬЯН ПОЛЗУЧИЙ,снижением желудочной секреции
ТМИН ОБЫКНОВЕННЫЙ,"Может возделываться на легких супесчаных почвах,  Растет хорошо на легких супесчаных,  многолетник,  теплу"
ТОЛОКНЯНКА ОБЫКНОВЕННАЯ,
ТЫКВА ОБЫКНОВЕННАЯ,"Может возделываться на полевых и овощных севооборотах,  южных районах почвах,  Растет хорошо на малоплодородных,  влажности и плодородию,  влажности и плодородию почвы"
ТЫСЯЧЕЛИСТНИК ОБЫКНОВЕННЫЙ,затенению
УКРОП ПАХУЧИЙ,"влажности почвыПредпочитает плодородные,  хорошо удобренные,  плодородные,  хорошо удобренные почвы почвы,  "
ФАСОЛЬ ОБЫКНОВЕННАЯ,"Может возделываться на Перу почвах,  гатых органическим веществом"
ФЕНХЕЛЬ ОБЫКНОВЕННЫЙ,
ФЕРУЛА ВОНЮЧАЯ,
ФИАЛКА ТРЁХЦВЕТНАЯ,"Растет хорошо на супесчаных почвах,  природного растительного покрова"
ХВОЩ ПОЛЕВОЙ,
ХМЕЛЬ ОБЫКНОВЕННЫЙ,"Может возделываться на кислых дерново, подзолистых почвах,  Растет хорошо на вдоль отвесных опор,  кислых дерново, подзолистых,  Предпочитает влажные,  богатые органическими веществами почвы,  "
ЦЕТРАРИЯ ИСЛАНДСКАЯ,"Может возделываться на торфяной почве почвах,  Растет хорошо на торфяной почве,  освещения,  увлажнения и других факторов местообитанияПредпочитает коры деревьев,  торфяной почвы,  "
ЦИКОРИЙ ОБЫКНОВЕННЫЙ,"Предпочитает довольно сухие и богатые почвы,  "
ЧАГА,
ЧЕМЕРИЦА ЛОБЕЛЯ,"Растет хорошо на лесном поясе,  "
ЧЕРЕДА ТРЁХРАЗДЕЛЬНАЯ,"Может возделываться на легких почвах,  Растет хорошо на Приморском крае,  легких,  Предпочитает лугопойменные и осушенные торфяники почвы,  "
ЧЕРЁМУХА ОБЫКНОВЕННАЯ,"Растет хорошо на городов и крупных рек,  лесной зоне,  влажные плодородные почвыПредпочитает влажные плодородные почвы,  "
ЧЕРНИКА ОБЫКНОВЕННАЯ,"Может возделываться на бедных,  кислых почвах почвах,  Растет хорошо на бедных,  влажных,  высокой влажности почвы,  почвенным условиям"
ЧЕРНУШКА ДАМАССКАЯ,"Может возделываться на кислых почвах,  Растет хорошо на кислых,  стержневой корневой системой"
ЧИСТОТЕЛ БОЛЬШОЙ,"Может возделываться на плодородных почвах,  "
ШАЛФЕЙ ЛЕКАРСТВЕННЫЙ,"Может возделываться на Крым,  Северный Кавказ,  холодных ветров почвах,  Растет хорошо на солнцем,  сухих каменистых,  холодных ветров"
ШИПОВНИК МАЙСКИЙ,"Может возделываться на легкосуглинистых,  открытых местах и на легкосуглинистых почвах,  Растет хорошо на легкосуглинистых,  Предпочитает аллювиальные почвы,  "
ШЛЕМНИК БАЙКАЛЬСКИЙ,
ЩАВЕЛЬ КОНСКИЙ,"Может возделываться на умеренно влажных и влажных почвах,  Растет хорошо на умеренно влажных и влажных,  весенним заморозкам"
ЩИТОВНИК МУЖСКОЙ,"Растет хорошо на дубовых и липовых лесах,  хвойных,  смешанных и широколиственных лесах,  "
ЭВКАЛИПТ ПРУТОВИДНЫЙ,"Растет хорошо на глинистых,  каменистых и песчаных,  "
ЭВКОММИЯ ВЯЗОЛИСТНАЯ,"Предпочитает увлажненные почвы,  "
ЭРВА ШЕРСТИСТАЯ,
ЭФЕДРА ХВОЩЕВАЯ,"Может возделываться на маломощных скелетных почвах почвах,  Растет хорошо на маломощных скелетных,  маломощных скелетных почвах,  "
ЭХИНАЦЕЯ ПУРПУРНАЯ,"Предпочитает плодородные,  плодородные почвы почвы,  "
